,comment,vid,postdate,vrate,likeCount
37,من الجزائر اخواننا يموتون في كل بقاع العالم مهندسين واطباء مهمشين والله حاجات طلع الضغط هل نحن من بكا علينا رسول الله صلى الله عليه وسلم,vOh7FtzLj-M,2020-02-18T23:33:39.000Z,none,0
38,ياخي عمرو وربي احلى فنان مصري من صغري لحدا كبرت واخلاقه وحده ومحترم ونجم واحد وبس الله يحفظك محبك من اليمن,t-ApoTsciog,2020-02-18T23:30:04.000Z,none,0
39,اسمعو كلام حماده الاقرع البواب الكبير,0c1LUcuuK4g,2020-02-18T23:26:58.000Z,none,0
40,يعني كلمه خمور وحشيش هي اللي هتخرب البلد يعني وهماا حسبي الله ونعم الوكيل,Vf6H7PSxjFg,2020-02-18T23:25:28.000Z,none,0
41,ان شاء الله الفوز للاهلي,sTC8Jzzkdrw,2020-02-18T23:21:21.000Z,none,0
42,أجمل أغنية مصرية...كلام جميل فية من الحب والطيبة ووصف الاحساس بدقة مايكفي...😍😍😍,vOh7FtzLj-M,2020-02-18T23:20:51.000Z,none,0
43,اللي بيحب مسرح مصر يدوس لايك,D7ERsrZaH3s,2020-02-18T23:14:57.000Z,none,1
44,ماشوفتش قناه جايبه حد حافظ كتاب الله منكم لله العهر والفسق هوه اللي ماشي,vOh7FtzLj-M,2020-02-18T23:12:45.000Z,none,0
45,بجد بقت حاجة تقرف اي حد يعوز يتشهر ويجيب فلوس يروح يجيب زوجتة واولاده علشان يتاجر بيهم حسبي الله ونعم الوكيل فعلا نحن في زمن يبع فيه المرء دينه كله يعرض من الدنيا قليل وان العلم ملوش قيمه يعني مثلا انا عندي قناة بتقدم محتوي هندسي وبرامج كمبيوتر وبرامج جوال وبتعب في المحتوي علشان افيد الناس ولكن لايوجد فى هذا الزمن من يقدر العلم نحن في زمن الصيع شكرا لكل من دعمني 💖,eRbQFdKXFa0,2020-02-18T23:12:39.000Z,none,0
46,ورغم كل هذه المزاعم والمسرحيا ت تبقى الكلب رقم واحد والعدو رقم 1 للشعب الجزاءري,oVUJPNwcgto,2020-02-18T23:12:34.000Z,none,0
47,"ملحن بأمارة ايه د اغنية ""بنت الجيران"" نسخة طبق الاصل من اغنية ""حاجة مستخبية"" سنة 2014",Vf6H7PSxjFg,2020-02-18T23:12:18.000Z,none,0
48,يااارااجل ! ده انت أحلى إنتاج ليك كان على ايام زينه عاشور وشيرين رضا .ده انت ف اللا لا لاند  🙄 وبقيت عامل زي المراهق دلوقتي 👎,6PxTwenGMzw,2020-02-18T23:11:06.000Z,none,0
49,اي وسامة تتحدثون عنها . بففففف.,QH3qLp60oWw,2020-02-18T23:10:39.000Z,none,0
50,لا يا مهيب ضاضا بيقولك كلهاااا خلصت 😂😂😂,d68H5yXJPzY,2020-02-18T23:07:28.000Z,none,0
51,هاني شاكر بدو ينظف الفن المصري من الشوائب زي محمد رمضان وشاكوش الآفات دة لازم تتشال,DUbBPyPVOXU,2020-02-18T23:06:25.000Z,none,0
52,هاني شاكر بدو ينظف الفن المصري من الشوائب زي محمد رمضان وشاكوش الآفات دة لازم تتشال,Vf6H7PSxjFg,2020-02-18T23:06:00.000Z,none,0
53,فن سخيف لاكلمات لا لحن لاصوت,vOh7FtzLj-M,2020-02-18T23:05:57.000Z,none,0
54,كس اخت هاني شاكر الخول,Vf6H7PSxjFg,2020-02-18T23:04:14.000Z,none,0
55,دا عند امك 😂😂,_YRS8EvIgIY,2020-02-18T23:03:28.000Z,none,0
56,اصلا هو دايما عبوس في وشها بناقص منه,q2J3t58eMCo,2020-02-18T22:57:46.000Z,none,0
57,يا اخى اتكلم عن الغلابة أتكلم عن الظلم إلى فى الدولة اتكلم عن قهر الناس المحترمة من ظباط الدخلية,eeWW-g_LHo4,2020-02-18T22:50:27.000Z,none,0
58,‏من بعد إذنكم يا حبايب دخل عقلي ‏حطوا لايك واشتراك,RmIiPr23z9Q,2020-02-18T22:49:09.000Z,none,0
59,الترجمة فيها اطراب,iDCwUKz4fqE,2020-02-18T22:47:22.000Z,none,0
60,شاكوش وبيكا وحمو وشطة  ونسيتو كرونا  هتموت موته  صينى  مش اصلى😂,vOh7FtzLj-M,2020-02-18T22:46:54.000Z,none,0
61,awesakhe i3elami,HQqTharHvPc,2020-02-18T22:41:54.000Z,none,0
62,محمد رمضان كرونا مصر  متخافش من واحد جاع بعد شبع خاف من شبع بعد جوع,VGHZUPcG4Ec,2020-02-18T22:40:55.000Z,none,0
63,يا استاذ عمرو بصراحه الشعب المصري كله ببسمع مهرجانات وحرام واحد حسن شاكوش صوته جميل ما نسمعوش تاني,eeWW-g_LHo4,2020-02-18T22:32:09.000Z,none,0
64,ياعمرو ممنوع,eeWW-g_LHo4,2020-02-18T22:30:30.000Z,none,1
65,استغفر اللة /صلي علي رسول اللة,T3SqJWBmvmY,2020-02-18T22:29:52.000Z,none,1
66,معلم يااااااااااااا شكوووووووووووش,vOh7FtzLj-M,2020-02-18T22:28:27.000Z,none,0
67,انشاء الله مصر حتنظف وترجع ايام زمان ايام لا تلوث سمعي,eeWW-g_LHo4,2020-02-18T22:28:03.000Z,none,1
68,"محد:
اذا طلبت شي من انستقرام",u6V_6HszJrg,2020-02-18T22:25:17.000Z,none,0
69,شاهدوا هذا الفيديو : رسالة الى كل وزرات الصحة العربية و العالمية ان لدينا العلاج للكورونا,vq6a3lXILQ0,2020-02-18T22:24:39.000Z,none,0
70,ني ني ني ني ني ني,eRbQFdKXFa0,2020-02-18T22:23:31.000Z,none,0
71,قريبة يا جدعان  ...  كلها كام ساعه ونشوف مين هيروق على التانى  #اهلاووووى,eRbQFdKXFa0,2020-02-18T22:23:04.000Z,none,0
72,https://youtu.be/i3JIClLu94Q ارجو الاشتراك فى  قناتى من فضلكم,eeWW-g_LHo4,2020-02-18T22:20:18.000Z,none,0
73,محمد صديق بواب في الاصل,eRbQFdKXFa0,2020-02-18T22:20:10.000Z,none,0
74,https://youtu.be/i3JIClLu94Q تبادل اشتراك نفسى قناتى تكبر,vlMplBZAxRI,2020-02-18T22:18:24.000Z,none,0
75,دي كانت عشان الالتهاب السحائي مش كورونا,vq6a3lXILQ0,2020-02-18T22:12:55.000Z,none,0
76,ياريت نفرق بين الصوت الحلو والكلام الوحش وهو ده اصل الموضوع ده غلطة المطربين في اختيار المولفين الفاشلين لو اختارو كلام محترم ومناسب  ومواضيع مناسبة بالعكس هيرفعو من شأن المهرجان ويظهرو بشكل محترم نصحتي لهم يضورو على الموضوع المناسب والكلمة الحلوة اللي تقدر تسمعها في وسط العيلة  مراتك واخواتك وبناتك، والضربة اللي ماتموتش تقويني ✌️,eeWW-g_LHo4,2020-02-18T22:10:11.000Z,none,0
77,🤣,Azo_JhQzntQ,2020-02-18T22:09:54.000Z,none,0
78,ربنا يسترها يعنى اقعد في البيت ماروحش الدروس,YrBBQp8L1vA,2020-02-18T22:08:07.000Z,none,0
79,هنشوف هانشوف,eRbQFdKXFa0,2020-02-18T22:04:01.000Z,none,0
80,سما محمد جمال يوسف إبراهيم,vOh7FtzLj-M,2020-02-18T22:03:29.000Z,none,1
81,خد طبق بليلة,eRbQFdKXFa0,2020-02-18T21:58:43.000Z,none,1
82,اولا كومنت اي حد ونبي يخوش يعملي sub علشان نفسي اوصل ١٠٠ مشترك♥️,eRbQFdKXFa0,2020-02-18T21:58:00.000Z,none,0
83,اول لايك ممكن تشتركو في قناتي ومردوده,eRbQFdKXFa0,2020-02-18T21:57:31.000Z,none,0
84,معنى كده ان متش الدورى مش هيتاجل..  يا رب ما يتاجل والله هيبقا احسن اعداد لمباريات افريقيا سواء للاهلى او الزمالك,REb-41mTZLs,2020-02-18T21:57:28.000Z,none,0
85,ايه الي بالك باله انت هتعمل صاحبه 😄😄😄,6wYqmlA0go8,2020-02-18T21:55:50.000Z,none,1
86,3.1للاهلي💪👑,REb-41mTZLs,2020-02-18T21:55:26.000Z,none,1
87,الي يحب ربنا يشترك في قناتي,PG_r68nlwk0,2020-02-18T21:53:35.000Z,none,0
88,"نصيحه لجميع مشاهدين الصندوق الملون
لاتصدقوا هذه الافواه التي تنطق عبر هذا الصندوق فجميعهم كذابين",vq6a3lXILQ0,2020-02-18T21:51:56.000Z,none,0
89,ياجماعة احنا مش عيزين حد يطلع علشان يداري او يطمئن لأن كده أكبر غلط ياريت كل حاجه تكون بمنتهي الصراحة والوضوح لأن لمه بتحدث الكارثة ساعتها مش حيفيد ده لكن لو الناس من دلوقت تعرف الحقيقة وتاخد بالها حيكون أفضل طبعا يعني الصين في الأول حاولت تداري الخبر ومنعت الطبيب اللي اكتشف الفيرس من الكلام وفي الأخر الدنيا باظت مش حيفيد بحاجة عدم قول الحقيقة بل علي العكس حيزيد الأمور سوء ولا حول ولا قوة إلا بالله ربنا يرحمنا برحمته ويحفظنا.,vq6a3lXILQ0,2020-02-18T21:40:12.000Z,none,0
90,اقسم بالله هتابع ال هيتابعني ❤❤❤❤❤❤❤ يلا بلييييز,6V5GfHACjlI,2020-02-18T21:30:00.000Z,none,0
91,"ياريت ميكونش مجرد اطمئنان تلفزيوني والحقيقه مختلفه خالص  .. 
بجد ربنا يستررر",vq6a3lXILQ0,2020-02-18T21:28:17.000Z,none,3
92,"ايه ده   الفن المصرى ارقى من كده ياجدعان  
اللحن هندى والفنان شاكوش",vOh7FtzLj-M,2020-02-18T21:19:16.000Z,none,0
93,حاتتشوو في نار جهنم ههههه,8afK6lOkeAk,2020-02-18T21:18:49.000Z,none,0
94,ربنا يسترها ويعديها علي خير يااااارب,vq6a3lXILQ0,2020-02-18T21:18:15.000Z,none,0
95,"بحس ان مستواكم في الحديث منخفضه جدا وليست علي القدر الكافي . انتو بجد عايزين تتعالجوا سواء دكاترة أو مزيعين . 
والله بجد بادعيلكم بالشفا",vq6a3lXILQ0,2020-02-18T21:18:09.000Z,none,0
96,لا ننسى,oVUJPNwcgto,2020-02-18T21:17:28.000Z,none,0
97,شفافية ايه دا انتوا اصلا طول العمر ع مدار التاريخ كذابين طول العمر بتكتموا ع اي خبر مهم لا انا من الناس اصدق الست دي صاحبه الفويس لانه طبيعي يعني ان اكون خايف اصلا انا عايش في بلد الخوف حسبي اللة ونعم الوكيل فيكم جميعا لو في فعلا الكارثه دي حضرتك هتقدر تجيب الكمامه النظيفه لكن احنا مش هنقدر نجيب غير اللي ثمنها 25جنيهه ومش باستمرار كمان ربنا يسترها,vq6a3lXILQ0,2020-02-18T21:10:38.000Z,none,4
98,وين مقطع الشيخ مبروك عطيه؟ مم حلقة اليوم عن الشهاده والبينه؟,PG_r68nlwk0,2020-02-18T21:07:58.000Z,none,0
99,وين مقطع الشيخ مبروك عطيه؟ مم حلقة اليوم عن الشهاده والبينه؟,vq6a3lXILQ0,2020-02-18T21:07:42.000Z,none,0
100,يخرب بيوتكم  ماهي سبوبه وراحت منكم هههههههه,mg_nFaZsKZM,2020-02-18T21:01:50.000Z,none,0
101,صح كدا الله ينور,Ba0F2WCSj5Q,2020-02-18T21:00:43.000Z,none,0
102,اغنية جميلة الحانها جميلة  انه سامعة اغاني واطيه جداً ولكن لاقت شهرة  ولكن فعلاً مسألة حظوظ,vOh7FtzLj-M,2020-02-18T20:59:22.000Z,none,0
103,"هاني شاكر  انت جدع 
بعد هذا الفديو سيتم طردك 
محمد رمضان معا فلوس بهز جيبو",mg_nFaZsKZM,2020-02-18T20:56:59.000Z,none,0
104,بالله عليكم اشترك للقناة للتحسين رزاق ولادي انا في أشد حالات الدخل للبنات,vq6a3lXILQ0,2020-02-18T20:55:52.000Z,none,1
105,اعموني بي اشترااك ادعمكو  ب اشتراك ياصديقي,vq6a3lXILQ0,2020-02-18T20:54:14.000Z,none,0
106,عمرو أديب المعرض رسمي نظمي فهمي وبرخصة زملكاوي حقير..,VGHZUPcG4Ec,2020-02-18T20:53:58.000Z,none,0
107,اقسم بالله هتابع ال يتابعني ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,vq6a3lXILQ0,2020-02-18T20:53:24.000Z,none,2
108,القرار صح و محمد رمضان مش بيغني مهرجانات,9wx9UhWoYIU,2020-02-18T20:51:49.000Z,none,0
109,يااا محبي النبي صلو عليه💝,vq6a3lXILQ0,2020-02-18T20:51:38.000Z,none,2
110,اللي بيحب ربنا والرسول يخش اعملي اشترك في القناه عايزين نوصل لك 500 مشترك,vq6a3lXILQ0,2020-02-18T20:51:11.000Z,none,0
111,و انا اؤيده,9wx9UhWoYIU,2020-02-18T20:50:35.000Z,none,0
112,القرار صح ١٠٠ %,9wx9UhWoYIU,2020-02-18T20:50:21.000Z,none,0
113,"📲*00212679620248* *Whatapps*📲
هـــــذا رقــم الــدكــتــور👨‍⚕️ الإخــتــصــاصــي الــلــي اقـتــرح عـلــي الـعــلاج الـفــعــال لــصــغــر الــقــضــيــب
ضــعــف الإنــتــصــاب✅ الــقــذف الــســريــع ✅ الــضــعــف الــجــنــســي ☑الـمـنـتـجـات مــتــوفــرة فـقـط بـالـسـعـوديـة🇸🇦 وقـطـر🇶🇦 والامـارات🇦🇪 والـعـراق🇮🇶 ولــبــنــان🇱🇧 والأردن🇯🇴 والــكــويــت🇰🇼 والــبــحــريــن🇧🇭 وسـلـطـنـة عـمـان🇴🇲
أحــصــلوا عــلــيــهــا الآن📲*00212.679.620.248* *Whatapps*📲الدفع عند الاستلام🤝",_hxZsksCXCo,2020-02-18T20:49:25.000Z,none,0
114,"ممكن الاشتراك في الاشتراك في
https://youtu.be/yenQQQHMwM8",PG_r68nlwk0,2020-02-18T20:44:26.000Z,none,0
115,روعة,FZBslmHPSJE,2020-02-18T20:43:27.000Z,none,0
116,الأول,PG_r68nlwk0,2020-02-18T20:42:55.000Z,none,1
117,الي  بيحب رسول الله يخش يعمل اشترك,vlMplBZAxRI,2020-02-18T20:42:26.000Z,none,0
118,ال يحي الله يحط لايك😢😢,vOh7FtzLj-M,2020-02-18T20:39:18.000Z,none,1
119,علي فكره هما صوتهم حلوا بس كلمات الاغاني ياريت تغيروها,eeWW-g_LHo4,2020-02-18T20:34:45.000Z,none,0
120,بل استاذ شريف انا نحبك في الله وانت محترم مش زي الزباه  عمرو اديب,vlMplBZAxRI,2020-02-18T20:32:29.000Z,none,2
121,اتمني تعملو اشتراك للقناه واشتراك في القناه بتعتكhttps://www.youtube.com/channel/UChn3jPw9vtkzVGUT43OKJ5g,vlMplBZAxRI,2020-02-18T20:30:55.000Z,none,0
122,قال ربكم ادعوني استجب لكم ادعو لأبي بلشفاء العاجل من مرض السرطان لعلكم أقرب إلى الله مني بحق مصاب زينب 😢😢,vlMplBZAxRI,2020-02-18T20:28:55.000Z,none,0
123,الاشاعات كتيره,vlMplBZAxRI,2020-02-18T20:28:38.000Z,none,0
124,"اللهم اجعل امي سيدة من اهل الجنه
هي وكل نساء المسليمن امين",vlMplBZAxRI,2020-02-18T20:28:25.000Z,none,0
125,قرار تعسفي من شخص معدوم الضمير و حاقد و اعتقد غيران من نجاحهم مع اني عمري ما سمعت مهرجانات ولكن قطع الأرزاق وحش دول ولا همًا حراميه و لا بلطجيه فاتحين بيوت و ربنا عالم بأحوالهم و القرار دا لا حيمنع الحشيش و لا الخمور من كل الدول العربيه لان اصحاب الحشيش و الخمور عندهم حصانه بس الغلابه دول حيجوعوا وكل حد حر في اللي يسمعوا هما ما اجبروش حد يسمعهم,eeWW-g_LHo4,2020-02-18T20:24:21.000Z,none,1
126,الاغنية وصوتة يفوزون بأحلى اغنية للعام,vOh7FtzLj-M,2020-02-18T20:17:42.000Z,none,0
127,رقص نسوان تفوه,vOh7FtzLj-M,2020-02-18T20:16:15.000Z,none,0
128,"اصحاب القنوات الصغيره يلا 
ندعم بعض فقط لايك وتعليك 
عشان ارد الاشتراك",vhpq4F5B4HM,2020-02-18T20:08:37.000Z,none,0
129,بس يامعرض جمهور ايه ياعرة الاستماع وعلى فكره معلومه يمكن تكون انتو متعرفوهاشعمر ماكان الفن اكل عيش يابيه,eeWW-g_LHo4,2020-02-18T20:07:43.000Z,none,1
130,"احسن قرار  اتخذة الفنان هاني شاكر  
لان فنانين البلطجه والكلام الفاضي زادو وخربو الفن على الاخر",eeWW-g_LHo4,2020-02-18T19:58:19.000Z,none,0
131,صوت جميل وقوي وعرب وتكنيك رائع وسيطرة ....بس اشتري لحن جميل حتكون في السما,vOh7FtzLj-M,2020-02-18T19:58:06.000Z,none,0
132,المديع مرعوب هههههههههههههههههههههههه,eeWW-g_LHo4,2020-02-18T19:56:48.000Z,none,1
133,اسحت يا تافه  اصرف من القديم,eeWW-g_LHo4,2020-02-18T19:56:19.000Z,none,0
134,لكن هذا يسمى ضلم توقف فنانين وتخلي بلاطخية تغني وياريت أغاني عليها قيمة مجرد لعب مراهقين رفع اصبع ورفعت رجل ادا يا مصر فين ايامك الحلوى,mg_nFaZsKZM,2020-02-18T19:56:03.000Z,none,0
135,المهرجانات هذه ليس فن الله يرحم فن زمان فين ايام عبد الحليم وام كلثوم وعبد الوهاب وفريد الأطرش والغير من الفنانين وفي هذه الأيام هانى شاكر وعمرو دياب ومحمد منير ومحمد فؤاد والغير.....ليس المهرجانات هذه فن......مع كل الاحترا,eeWW-g_LHo4,2020-02-18T19:54:42.000Z,none,1
136,تم اغتصاب اللغه سشره يعني شجرة 🌲,vhpq4F5B4HM,2020-02-18T19:52:50.000Z,none,0
137,البنت صغيرة وعقلها صغير والحمد لله دافعت عن نفسها ....الحمد لله ..,CLDdmaGnt6I,2020-02-18T19:52:25.000Z,none,0
138,هولوصحيح نقيب عنده ضميركان منع المجرمه نانسي عجرم من الغناء في مصرنانسي هم حاسبيهامطربه شخبط شخابيط الفاجره اللي تغني بملابسهاالخلاعيه نانسي ماعدهاصوت بس قادرعلى اولادبلده والله اصواتهم اجمل من صوت نانسي بمليارمره اتقي الله ياهاني,eeWW-g_LHo4,2020-02-18T19:51:25.000Z,none,5
139,فروض اللي يشغل اغنية مهرجان في بيته او عربيته يتمسك ويحبس 3,eeWW-g_LHo4,2020-02-18T19:49:53.000Z,none,0
140,احلى قرار من هاني شاكر,eeWW-g_LHo4,2020-02-18T19:48:22.000Z,none,1
141,خلو هاني شاكر يلغي حفلات العاهرات الرخيصات المايعات امثال هيفاء ونانسي ومروه  وغيرهن من الفاسدات بدل مايقطع ارزاق عيال بلده,eeWW-g_LHo4,2020-02-18T19:41:13.000Z,none,0
142,مسح جماعي,EN9j_Ssnu_o,2020-02-18T19:32:39.000Z,none,0
143,حرام كدا دة حتى باين من شكله أنه انسان محترم جدااا اومال مش بياخدو القرار دة على سما المصري ليه ....,Vf6H7PSxjFg,2020-02-18T19:30:33.000Z,none,0
144,من نجاح الى نجاح,6wYqmlA0go8,2020-02-18T19:27:19.000Z,none,1
145,*الله يسهلكم إخواني عاونوني نكمل ألف مشترك في أقرب إخواني,vhpq4F5B4HM,2020-02-18T19:23:06.000Z,none,1
146,هو ده آخر الشر و آخرت  سلسال الدم انتصار نصرة و هزيمة هارون هههه 😂🤭 سلسال الصفونيه انقطع من كله 😆😆,GgrLA6FAr7I,2020-02-18T19:22:03.000Z,none,0
147,ارفع يدك فوق ليه في مدرسه احنا🤭,vOh7FtzLj-M,2020-02-18T19:20:33.000Z,none,0
148,و الله هارون ده ظالم يستحق كل اللي يحصل فيه ⁦☹️⁩⁦☹️⁩😔😏 ده انا حفظت المسلسل ده الست أجزاء 😂🥰🥰🤗 بجد و الله و أقسم بالله ،,ov2i-PHzojg,2020-02-18T19:19:05.000Z,none,0
149,"https://www.youtube.com/channel/UCaLPQZsehLgp2iWgzDF8pfA
أتمنى تعجبكم القناة",9JvWvpI--L8,2020-02-18T19:18:45.000Z,none,0
150,"الحمدالله الموظفين موجودين
فين المرضا علشان يسالهم الخدمه",yGc7zEnZlew,2020-02-18T19:12:55.000Z,none,0
151,ممكن تدعمونى القناه https://youtu.be/ShU0fgaDT0o,vOh7FtzLj-M,2020-02-18T19:11:13.000Z,none,0
152,اووول كومنت,v25yq30wh7M,2020-02-18T19:08:14.000Z,none,0
153,اقسم بالله هتابع ال يتابعني ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,v25yq30wh7M,2020-02-18T19:08:01.000Z,none,1
154,بنجاح الإدارة المصرية أفرجت على أول دفعة من المعتقلين الكورونيين ، حسب المقدم عمرو.,MRN_AghHhPg,2020-02-18T19:05:37.000Z,none,0
155,لما تلاقي الصوت حلو جدا واللحن جامد اخر حاجه والكلمات زباله اعرف ان اللي كاتب الاغنيه هو تركي ال شيخ,6V5GfHACjlI,2020-02-18T19:04:34.000Z,none,1
156,"حتى لو اللحن مسروق صح
الاغنية جميلة جدا ♥️ 🇩🇿",vOh7FtzLj-M,2020-02-18T19:01:57.000Z,none,0
157,عمرو أديب ملك الفتن مش مقدم برامج,eeWW-g_LHo4,2020-02-18T18:59:12.000Z,none,2
158,اموت عليهه مادري ليش ❤,13aq4u0OY60,2020-02-18T18:58:07.000Z,none,0
159,حرام سبيهم ياكلو عيش يا  استاذ هاني,eeWW-g_LHo4,2020-02-18T18:55:16.000Z,none,1
160,حرام عليكو,eeWW-g_LHo4,2020-02-18T18:53:40.000Z,none,0
161,روعه وروعه,6V5GfHACjlI,2020-02-18T18:48:46.000Z,none,0
162,"يعني حسن بيقوله امي مريضه وهو ماقلوش حتي الف سلامه .
لا وبيقوله انتا كدا خلصت من المهني الموسقيه هتشتغل فين 😃",GcNr7hUZTm8,2020-02-18T18:44:47.000Z,none,0
